Nodos:
x	y	frontera
0.000000	0.000000	1
0.000000	0.250000	1
0.000000	0.500000	1
0.000000	0.750000	1
0.000000	1.000000	1
0.250000	0.000000	1
0.250000	0.250000	0
0.250000	0.500000	0
0.250000	0.750000	0
0.250000	1.000000	1
0.500000	0.000000	1
0.500000	0.250000	0
0.500000	0.500000	0
0.500000	0.750000	0
0.500000	1.000000	1
0.750000	0.000000	1
0.750000	0.250000	0
0.750000	0.500000	0
0.750000	0.750000	0
0.750000	1.000000	1
1.000000	0.000000	1
1.000000	0.250000	1
1.000000	0.500000	1
1.000000	0.750000	1
1.000000	1.000000	1
Triangulación:
N° Elem	N1	N2	N3
1	1	6	2
2	6	7	2
3	2	7	3
4	7	8	3
5	3	8	4
6	8	9	4
7	4	9	5
8	9	10	5
9	6	11	7
10	11	12	7
11	7	12	8
12	12	13	8
13	8	13	9
14	13	14	9
15	9	14	10
16	14	15	10
17	11	16	12
18	16	17	12
19	12	17	13
20	17	18	13
21	13	18	14
22	18	19	14
23	14	19	15
24	19	20	15
25	16	21	17
26	21	22	17
27	17	22	18
28	22	23	18
29	18	23	19
30	23	24	19
31	19	24	20
32	24	25	20
