Nodos:
x	y	frontera
0.000000	0.000000	1
0.000000	0.333333	1
0.000000	0.666667	1
0.000000	1.000000	1
0.333333	0.000000	1
0.333333	0.333333	0
0.333333	0.666667	0
0.333333	1.000000	1
0.666667	0.000000	1
0.666667	0.333333	0
0.666667	0.666667	0
0.666667	1.000000	1
1.000000	0.000000	1
1.000000	0.333333	1
1.000000	0.666667	1
1.000000	1.000000	1
Triangulación:
N° Elem	N1	N2	N3
1	1	5	2
2	5	6	2
3	2	6	3
4	6	7	3
5	3	7	4
6	7	8	4
7	5	9	6
8	9	10	6
9	6	10	7
10	10	11	7
11	7	11	8
12	11	12	8
13	9	13	10
14	13	14	10
15	10	14	11
16	14	15	11
17	11	15	12
18	15	16	12
